ID,Latitude,Longitude
1,157770.7182,-7600601
2,157770.7182,-7600601
3,63825.4026,-7719353
4,63825.4026,-7719353
5,50419.126,-7684740
6,49944.5643,-7682111
7,37279.3091,-7713000
8,36813.6724,-7611750
9,36603.1791,-7713558
10,33597.5862,-7608224
11,32580.8372,-7707230
12,32580.8372,-7707230
13,31538.5732,-7601856
14,18256.9949,-7600243
15,18256.9949,-7600243
16,6524.0971,-7716026
17,6524.0971,-7716026
18,474.5726,-7708538
19,-1949.3198,-7708474
20,-9884.3755,-7733680
21,-9884.3755,-7733680
22,-11477.7642,-7680171
23,-13929.7192,-7680480
24,-16973.6112,-7622228
25,-21595.5757,-7675060
26,-33029.8908,-7723587
27,-33029.8908,-7723587
28,-38842.0613,-7674390
29,-39877.9418,-7613735
30,-39964.6903,-7615791
31,-40864.0686,-7617774
32,-40879.3772,-7617492
33,-45632.6769,-7677308
34,-47936.6045,-7680799
35,-47936.6045,-7680799
36,-53926.0287,-7618184
37,-54114.8322,-7618266
38,-54146.7247,-7618378
39,-56098.5419,-7725787
40,-56098.5419,-7725787
41,-57512.0124,-7749014
42,-71776.7124,-7751848
43,-75212.092,-7657221
44,-75266.9457,-7657204
45,-75525.9061,-7657204
46,-87597.4336,-7720211
47,-87597.4336,-7720211
48,-90125.7543,-7726229
49,-93534.2507,-7726068
50,-93578.8978,-7726115
51,-94880.0401,-7727924
52,-125094.9744,-7743255
53,-126818.2404,-7741541
54,-128397.3635,-7741082
55,-130046.6352,-7742256
56,-135138.5453,-7804093
57,-135914.0611,-7804192
58,-137481.6699,-7802248
59,-158233.7039,-7686768
60,-158233.7039,-7686768
61,-158233.7039,-7686768
62,-170790.1963,-7783708
63,-171461.0528,-7782241
64,-171698.2755,-7784031
65,-194852.1098,-7760428
66,-195464.2491,-7759990
67,-197930.6469,-7763536
68,-199032.4846,-7791283
69,-199032.4846,-7791283
70,-204866.794,-7791425
71,-208286.9794,-7791495
72,-214052.2247,-7792269
73,-217686.5199,-7795544
74,-226849.8099,-7643331
75,-226849.8099,-7643331
76,-226849.8099,-7643331
77,-267534.4576,-7624271
78,-272686.2672,-7626717
79,-276815.524,-7629347
